folder,droid_score,raft_score,combined_score
base_vlm--flip_pot_upright,0.155326008796691,0.18900299162023101,0.17133908001096806
base_vlm--move_salt_shaker_onto_plate,0.08498468250036201,0.22655392072568,0.1387573890720206
dp--cover_white_bowl_with_towel,0.157031655311584,0.31995350920494003,0.22414912262420716
dp--knock_brown_bear_over,0.107684582471847,0.186541497802783,0.1417308833831415
dp--move_corn_onto_plate,0.09150324761867501,0.206439854715078,0.13744059496508693
dp--pour_corn,0.36496570706367404,0.12167875531372001,0.21073341682727875
dp--put_carrot,0.101419240236282,0.19585335475411803,0.1409372145208272
octo--cover_white_bowl_with_towel,0.15857990086078602,0.16216816824799402,0.16036399858927863
octo--knock_brown_bear_over,0.094104640185832,0.07864032063307101,0.08602568847311604
octo--move_corn_onto_plate,0.094652593135833,0.06050304752597001,0.07567542759016038
openvla--cover_white_bowl_with_towel,0.13622398674488,0.214357806917563,0.17088205010532748
openvla--flip_pot_upright,0.13871102035045602,0.15124898785738702,0.14484440421594438
openvla--knock_brown_bear_over,0.07913115620613001,0.09716608717401101,0.0876861723540554
openvla--lift_AAA_battery_fail,0.145167678594589,1.224117658885602,0.4215475285979812
openvla--lift_cheese,0.21916775405406902,2.06626607809241,0.6729479144879068
openvla--lift_red_chili_pepper,0.093826934695243,1.243647541922311,0.3415957211380789
openvla--move_banana_near_plate,0.288347542285919,1.070629763190055,0.5556198888754864
openvla--move_coke_can_near_taylor_swift,0.193522900342941,0.813930661649742,0.3968806146947808
openvla--move_corn_onto_plate,0.092722430825233,0.147738185960399,0.11704120525677487
openvla--move_salt_shaker_onto_plate,0.080057255923748,0.144662342424854,0.10761630996292061
openvla--pick_coke_can,0.130132988095283,0.35833851682711204,0.21594365455910933
openvla--place_banana_on_plate,0.21922932565212203,0.7355144571349961,0.40155490091031365
openvla--pour_corn,0.098777025938034,0.09986395901201,0.09931900558102702
openvla--put_blue_cup_on_plate--reattempt,0.23278141021728502,0.597414206542154,0.37291677554478964
openvla--put_carrot,0.096240632236003,0.15619459588426501,0.12260614446164049
openvla--put_carrot_on_plate--motion,0.142474591732025,1.025452500504736,0.38223150883986057
openvla--put_corn_on_plate--clutter,0.17110396921634602,1.30974095326087,0.47339399631610835
openvla--put_eggplant_into_pot--clutter,0.23325206339359203,1.522440330487421,0.595913037682356
openvla--put_pink_cup_on_plate,0.08897230029106101,0.6403235797272351,0.2386861156811152
openvla--stack_blue_cup_on_pink_cup,0.47573632001876803,0.8400969467629461,0.6321903431024606
