Folder,DROID Score
base_vlm--flip_pot_upright,0.1553260087966919
base_vlm--move_salt_shaker_onto_plate,0.0849846825003624
dp--cover_white_bowl_with_towel,0.15703165531158447
dp--knock_brown_bear_over,0.10768458247184753
dp--move_corn_onto_plate,0.09150324761867523
dp--pour_corn,0.3649657070636749
dp--put_carrot,0.10141924023628235
octo--cover_white_bowl_with_towel,0.15857990086078644
octo--knock_brown_bear_over,0.09410464018583298
octo--move_corn_onto_plate,0.09465259313583374
openvla--cover_white_bowl_with_towel,0.13622398674488068
openvla--flip_pot_upright,0.13871102035045624
openvla--knock_brown_bear_over,0.07913115620613098
openvla--lift_AAA_battery_fail,0.14516767859458923
openvla--lift_cheese,0.21916775405406952
openvla--lift_red_chili_pepper,0.09382693469524384
openvla--move_banana_near_plate,0.2883475422859192
openvla--move_coke_can_near_taylor_swift,0.19352290034294128
openvla--move_corn_onto_plate,0.09272243082523346
openvla--move_salt_shaker_onto_plate,0.08005725592374802
openvla--pick_coke_can,0.1301329880952835
openvla--place_banana_on_plate,0.2192293256521225
openvla--pour_corn,0.09877702593803406
openvla--put_blue_cup_on_plate--reattempt,0.23278141021728516
openvla--put_carrot,0.09624063223600388
openvla--put_carrot_on_plate--motion,0.14247459173202515
openvla--put_corn_on_plate--clutter,0.17110396921634674
openvla--put_eggplant_into_pot--clutter,0.23325206339359283
openvla--put_pink_cup_on_plate,0.0889723002910614
openvla--stack_blue_cup_on_pink_cup,0.4757363200187683
