folder,droid_score,raft_score,combined_score,task
lift_eggplant_s51,0.8372423648834221,0.323006110706249,0.5200330758706568,lift_eggplant
lift_eggplant_s53,0.44464865326881403,0.34703224121797205,0.39281982981823804,lift_eggplant
lift_eggplant_s71,0.351494222879409,0.351584638977645,0.3515394280216444,lift_eggplant
lift_eggplant_s52,0.42651084065437306,0.272458436380046,0.3408907108500163,lift_eggplant
lift_eggplant_s63,0.296184033155441,0.293347960117855,0.2947625857289689,lift_eggplant
lift_eggplant_s54,0.19341330230236,0.43284236165404905,0.28933971477117004,lift_eggplant
lift_eggplant_s60,0.23385481536388303,0.35746174949977605,0.2891265318661031,lift_eggplant
lift_eggplant_s50,0.25641906261444003,0.305175990650487,0.27973727219487754,lift_eggplant
lift_eggplant_s70,0.19594259560108102,0.39480529029439104,0.2781351709822425,lift_eggplant
lift_eggplant_s44,0.19374941289424802,0.340390002431505,0.25680802776816725,lift_eggplant
put_blue_cup_on_plate_s63,0.7990804910659791,0.737065959318402,0.767447085290032,put_blue_cup_on_plate
put_blue_cup_on_plate_s54,0.352649927139282,1.553561138760118,0.740177831598715,put_blue_cup_on_plate
put_blue_cup_on_plate_s61,0.28823697566986,1.5943097631211112,0.677893077411888,put_blue_cup_on_plate
put_blue_cup_on_plate_s69,0.40130129456520003,1.098497637639422,0.6639491878611752,put_blue_cup_on_plate
put_blue_cup_on_plate_s59,0.257856637239456,1.011879255781434,0.5108030757426623,put_blue_cup_on_plate
put_blue_cup_on_plate_s56,0.39199271798133806,0.6594639735777851,0.5084339440020987,put_blue_cup_on_plate
put_blue_cup_on_plate_s53,0.29156267642974804,0.854479684321038,0.4991336331239241,put_blue_cup_on_plate
put_blue_cup_on_plate_s50,0.22622205317020402,1.044135332537091,0.4860107392991378,put_blue_cup_on_plate
put_blue_cup_on_plate_s52,0.266675025224685,0.8817081838288641,0.48490159018441414,put_blue_cup_on_plate
put_blue_cup_on_plate_s64,0.142708450555801,1.420484117539093,0.45023892263233783,put_blue_cup_on_plate
put_carrot_on_plate_s42,0.289243698120117,1.9345548227916112,0.7480359557938063,put_carrot_on_plate
put_carrot_on_plate_s63,0.47237458825111306,1.090889378173106,0.7178498595403037,put_carrot_on_plate
put_carrot_on_plate_s53,0.36344364285469005,1.123761408230969,0.6390805425820597,put_carrot_on_plate
put_carrot_on_plate_s69,0.21833071112632702,1.6184779190756111,0.5944438030748038,put_carrot_on_plate
put_carrot_on_plate_s43,0.24140405654907202,1.342925065342489,0.5693747082678545,put_carrot_on_plate
put_carrot_on_plate_s60,0.15096890926361,2.111916830096677,0.5646536817334641,put_carrot_on_plate
put_carrot_on_plate_s44,0.24478597939014402,1.262499205273219,0.5559155551359247,put_carrot_on_plate
put_carrot_on_plate_s61,0.261441051959991,1.025327608412902,0.5177477460569875,put_carrot_on_plate
put_carrot_on_plate_s45,0.23268258571624703,1.092725865235789,0.5042402996608727,put_carrot_on_plate
put_carrot_on_plate_s47,0.281921237707138,0.7023599951317021,0.444983369513411,put_carrot_on_plate
put_eggplant_into_pot_s58,0.528957784175872,0.378402507155759,0.4473912736204237,put_eggplant_into_pot
put_eggplant_into_pot_s42,0.25457093119621205,0.46365069365210904,0.3435578391374399,put_eggplant_into_pot
put_eggplant_into_pot_s70,0.302792191505432,0.358635226461391,0.3295329212253178,put_eggplant_into_pot
put_eggplant_into_pot_s57,0.23155966401100103,0.43180492770787005,0.31620974681108266,put_eggplant_into_pot
put_eggplant_into_pot_s61,0.28968176245689303,0.305787007324797,0.29762546802695844,put_eggplant_into_pot
put_eggplant_into_pot_s71,0.24122212827205602,0.34068200838400003,0.28667061085222345,put_eggplant_into_pot
put_eggplant_into_pot_s47,0.21908462047576902,0.35055081867610005,0.2771286579679617,put_eggplant_into_pot
put_eggplant_into_pot_s64,0.235506743192672,0.31644363253476404,0.27299195831071826,put_eggplant_into_pot
put_eggplant_into_pot_s45,0.17046925425529402,0.42963864565699705,0.2706292288804053,put_eggplant_into_pot
put_eggplant_into_pot_s69,0.112857736647129,0.6291294418509461,0.2664622390984684,put_eggplant_into_pot
stack_blue_cup_on_pink_cup_s46,0.760439157485961,0.531731469822265,0.6358847622961372,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s64,0.278887093067169,1.02487184555807,0.5346246625194865,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s48,0.5508346557617181,0.473638200783204,0.5107801242061164,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s44,0.336801677942276,0.6895819254835831,0.4819256681082014,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s51,0.227163612842559,0.888056274642785,0.44914816236444616,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s50,0.29304152727127003,0.6372569005470661,0.43213740338053136,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s71,0.27873966097831704,0.529159473522756,0.3840543350272169,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s61,0.19644947350025102,0.714774728084661,0.37472272282784874,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s69,0.20571447908878301,0.651728874448103,0.36615579459324465,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s52,0.20474413037300102,0.647343396441396,0.3640601059675428,stack_blue_cup_on_pink_cup
